fips_code,county,state,sum
48001,Anderson,Texas,570020
48003,Andrews,Texas,444564
48005,Angelina,Texas,736472
48007,Aransas,Texas,474853
48009,Archer,Texas,79364
48011,Armstrong,Texas,11444
48013,Atascosa,Texas,104609
48015,Austin,Texas,167159
48017,Bailey,Texas,84279
48019,Bandera,Texas,96
48021,Bastrop,Texas,606332
48023,Baylor,Texas,643
48025,Bee,Texas,1294519
48029,Bexar,Texas,2464495
48033,Borden,Texas,1149
48037,Bowie,Texas,804254
48039,Brazoria,Texas,378349
48041,Brazos,Texas,4219
48043,Brewster,Texas,340198
48045,Briscoe,Texas,6659
48047,Brooks,Texas,156577
48049,Brown,Texas,78036
48051,Burleson,Texas,154059
48053,Burnet,Texas,1
48055,Caldwell,Texas,202916
48057,Calhoun,Texas,72175
48059,Callahan,Texas,61023
48061,Cameron,Texas,906299
48063,Camp,Texas,191663
48065,Carson,Texas,100548
48067,Cass,Texas,325596
48069,Castro,Texas,14353
48071,Chambers,Texas,240944
48073,Cherokee,Texas,2115469
48075,Childress,Texas,46744
48077,Clay,Texas,31641
48079,Cochran,Texas,25340
48081,Coke,Texas,30448
48083,Coleman,Texas,7647
48085,Collin,Texas,1948543
48087,Collingsworth,Texas,372410
48089,Colorado,Texas,296585
48091,Comal,Texas,39163
48093,Comanche,Texas,16370
48095,Concho,Texas,4585
48097,Cooke,Texas,80324
48099,Coryell,Texas,131705
48101,Cottle,Texas,695
48103,Crane,Texas,54438
48105,Crockett,Texas,27441
48107,Crosby,Texas,54466
48109,Culberson,Texas,396529
48111,Dallam,Texas,32068
48113,Dallas,Texas,8321314
48115,Dawson,Texas,560055
48117,Deaf Smith,Texas,50375
48119,Delta,Texas,11750
48121,Denton,Texas,968317
48123,DeWitt,Texas,117687
48125,Dickens,Texas,12469
48127,Dimmit,Texas,146571
48129,Donley,Texas,143449
48131,Duval,Texas,241512
48133,Eastland,Texas,117584
48135,Ector,Texas,2203449
48137,Edwards,Texas,7009
48139,Ellis,Texas,991870
48141,El Paso,Texas,2612880
48143,Erath,Texas,134440
48145,Falls,Texas,135826
48147,Fannin,Texas,63713
48149,Fayette,Texas,43713
48151,Fisher,Texas,17224
48153,Floyd,Texas,39992
48155,Foard,Texas,4247
48157,Fort Bend,Texas,1157467
48159,Franklin,Texas,111486
48161,Freestone,Texas,200902
48163,Frio,Texas,116245
48165,Gaines,Texas,131249
48167,Galveston,Texas,588078
48169,Garza,Texas,9726
48173,Glasscock,Texas,94533
48175,Goliad,Texas,57063
48177,Gonzales,Texas,133842
48179,Gray,Texas,135845
48181,Grayson,Texas,585293
48183,Gregg,Texas,2051875
48185,Grimes,Texas,523033
48187,Guadalupe,Texas,424828
48189,Hale,Texas,165669
48191,Hall,Texas,240520
48195,Hansford,Texas,23711
48197,Hardeman,Texas,22318
48199,Hardin,Texas,420972
48201,Harris,Texas,7818866
48203,Harrison,Texas,415425
48205,Hartley,Texas,21989
48207,Haskell,Texas,14661
48209,Hays,Texas,12616
48211,Hemphill,Texas,28884
48213,Henderson,Texas,668157
48215,Hidalgo,Texas,2721916
48217,Hill,Texas,206429
48219,Hockley,Texas,63932
48221,Hood,Texas,32355
48223,Hopkins,Texas,466264
48225,Houston,Texas,88930
48227,Howard,Texas,227102
48229,Hudspeth,Texas,94520
48231,Hunt,Texas,104877
48233,Hutchinson,Texas,272040
